term	description
recall rights	the right of an employee who is laid off from work to be called back to work before the employer can hire a new person; often determined in order of seniority
recapture of income	what must be reported as income on the terminal t1 tax return if the undepreciated capital cost of the last asset in a class of depreciable capital assets is lower than its fair market value
receivable	refers to money that is owing to a creditor (also called an account receivable); because it describes a right to future payment or income; a creditor can sell or assign its receivables as a way of paying others — a creditor who has done this gives the purchaser or assignee of the receivable the right to be paid the amount of the receivable by the debtor
receiver	a person or corporation appointed by a person who holds a debenture or other security agreement , giving that person authority to take possession of the specified in the debenture . a receiver cannot manage or operate a company for more than 14 days .
receiver 's certificate	certificates given by a receiver or receiver - manager to secure borrowings required by the receiver or receiver - manager . any debt secured by a receiver 's certificate has a first charged over the property , ranking ahead of any other secured charge .
receiver - manager	similar to receiver above , except the receiver - manager can manage or operate the company .
receiver of rents	a person appointed by the court to enforce the collection of rent as is specified in the charge on the property .
receiving order	an order handed down by the court following the successful petition to have a person or company placed into bankruptcy .
recital	statement that sets out background facts on which a document (for example, a contract) is based
recognizance	an acknowledgment and agreement by the defendant that he or she will attend the next scheduled court appearance
reconsideration	the procedure established by a tribunal to review its decision when a party provides evidence or argument that the decision may be wrong or unreasonable; also called "rehearing" or "reopening"
record	the collection of documents received by the rpd from a refugee claimant before there is a decision to hold a hearing
record date	a date fixed in advance by the directors for the purpose of determining which shareholders are entitled to receive notice of a meeting of shareholders
redeem	release or free land from a claim against it by paying the amount owing under the charge
redemption	buying back .
referee	a non-judge who is authorized by the rules to preside at terms of payment hearings
reference	judicial proceeding used when it is necessary to delve into an issue in detail before a decision can be reached
reference plan	registered survey prepared to illustrate the boundaries of a parcel of land
refresh the retainer	make a further deposit against future fees as a case progresses
refugee	a person who is forced to flee from persecution (as opposed to an immigrant who chooses to move)
refugee claimant	a person who has made a refugee protection claim where the decision is yet to be made; this term is used in canada and is equivalent to "asylum seeker"
refugee sur place	a person who did not initially flee the home country, but while in another country became a refugee in need of protection because of changed country conditions or circumstances in the home country
refusal letter	document sent to a permanent resident applicant outlining the reasons for the application's refusal
registered charity	an organization, whether incorporated or not, that has been established for one or more charitable purposes and registered as a charity with the cra
registered charity information return	the charity information return that must be filed with the cra by every registered charity on an annual basis and within six months following the expiration of a registered charity's financial year
registering court	the court in which a judgment is registered
registrar	the tribunal staff member who is responsible for processing applications or appeals and handling related issues and procedures, such as providing parties with information about the tribunal's procedures; scheduling motions, pre-hearing conferences, and hearings; and sending out notices and decisions
registrar	an officer of the supreme court appointed by the chief justice and empowered to deal with various matters as set out in the bankruptcy and insolvency act .
registry system	land registration system in ontario governed by the registry act
regulations	detailed rules that flesh out the meaning and requirements of a statute; made under the authority of a statute, either by cabinet or by a body to which this power is delegated; also called "subordinate legislation" or "delegated legislation"
regulatory offences	laws that have been enacted to regulate behaviour in society (also known as provincial offences)
rehearing	see reconsideration
relator	an informer ; a person who has supplied the facts required for a criminal prosecution or a civil suit .
relevant evidence	evidence that helps to answer a question that a court or tribunal must address in making a decision
relevant fact	a fact that logically supports a proposition
relief from forfeiture	a remedy granted to a debtor whose property has been seized by a creditor who has acted in an oppressive or capricious manner
remainder	a right to future enjoyment or ownership of real property . the `` left - over '' after property has been conveyed first to another party . a remainder interest is what if left - over after a life estate has run its course . contrary to a reversion , a remainder does not go to the grantor or his -lrb- or her -rrb- heirs .
remedial certification	if the union demonstrates that it has some support for certification and the unfair labour practices of the employer make it impossible to determine the true wishes of the employees in a vote, then the union will be certified without a vote
remedial legislation	law intended to right a societal wrong and provide a remedy, rather than to punish an offender
remedy	a measure that an authority such as a government official, court, or tribunal can take to prevent, redress, punish, or compensate for a wrong, or to relieve, cure, or correct a condition
remo	abbreviation for `` reciprocal enforcement of maintenance orders '' and the name of the international system of recognition , registration and enforcement of child and spousal support orders between countries which have agreed , between themselves , to enforce each other 's maintenance orders . the international remo system now spreads over many countries . in the usa , the system is known as uifsa or uresa .
removal order	an order issued either after an examination or at an admissibility hearing instructing the person to leave canada
removal ready	refers to people who are subject to a removal order that is in force or to a security certificate that has been issued against them
rent geared to income	a rent determined on the basis of the tenant's income, which in ontario social housing is usually 30 percent of the tenant's income
reopening	see reconsideration
reorganization	a court order made under the cbca, the obca, or the bankruptcy and insolvency act approving a proposal, which may include an amendment to a corporation's articles
repairer 's lien	a mechanic or other person who , by bestowing money , skills or material on any chattel , is entitled to a lien on the chattel , which empowers that person to sell the chattel if he is not paid within a prescribed period of time .
replevin	a legal action taken to reclaim goods which have been distrained .
reply	plaintiff's opportunity to respond to new matters raised by the defendant
reply evidence	evidence called to rebut or refute the evidence presented by an opposing party; see also surrebuttal
reporter	see law reporter
reporting letter	letter signed by the lawyer, outlining what was done in the transaction
representation	a statement made to induce someone to enter into a contract
representative	a professional (for example, a lawyer or a paralegal) who is authorized to represent a defendant in a proceeding; see advocate
repudiate	to renounce or reject an obligation
request to admit	document in which one party requires the other to admit the truth of a fact or the authenticity of a document
requisition	request made to the vendor to clear up problems revealed by the title search and other inquiries
requisition date	deadline by which the purchaser (buyer) must submit any title requisitions to the vendor (seller)
requisition going to the root of title	requisition based on a defect that calls into question the legal enforceability/validity of the title
requisition on conveyance	requisition that requires the vendor to produce an effective conveyance, assuming that the vendor has the ability to do so
requisition on matters of contract	requisition for specific things that the purchaser is entitled to receive under the contract
requisition on title	query of directives made by the purchaser that asks the vendor to remedy problems with title
res gestae	latin for `` things done . '' a peculiar rule , used mostly in criminal cases , which allows hearsay if the statement is made during the excitement of the litigated event . for example , the words `` stick ' em up !" used during an armed robbery would be admissible in evidence under the res gestae rule .
res gestae or spontaneous statement	a statement made in an excited state or expressing an existing physical, mental, or emotional state
res ipsa loquitur	a word used in tort to refer to situations where negligence is presumed on the defendant since the object causing injury was in his or her control .
res judicata	latin for "the thing has been decided"; once a claim is heard and decided by a court or tribunal, it cannot be heard again
res judicata	latin : a matter which has already been conclusively decided by a court .
rescheduling	postponement, usually of a hearing, before the hearing was scheduled to begin
rescind	cancel
rescind	to abrogate or cancel a contract .
rescission	the cancellation, nullification, or revocation of a contract; the "unmaking" of a contract
reserve	of a decision, to hold back a decision following a proceeding to allow for further consideration of the matter by the court or tribunal and the release of the decision at a later time
reserve fund	covers costs of major repairs to and replacement of common elements
resettlement	in the context of refugee law, the relocation and integration of a refugee or person in a refugee-like situation from a camp or other temporary situation to another country where he can reside on a permanent basis; this option may be used when the refugee cannot return to his country of origin because of a risk to life or other serious problems
resettlement assistance program	program that provides financial and immediate essential services to government-assisted refugees
residence in canada	a requirement for citizenship
residency calculator	cic website tool for timing citizenship applications
resident canadian	defined under the cbca and the obca variously but essentially as an individual who is a canadian citizen ordinarily resident in canada, a canadian citizen not ordinarily resident in canada who is a member of a prescribed class of persons, or a permanent resident of canada within the meaning of the federal immigration and refugee protection act and ordinarily resident in canada
residual gift	gift to a beneficiary that is left over in the estate after the debts and the gifts to other beneficiaries are paid
residual power	power that is not otherwise delegated elsewhere; the federal government has a residual power to legislate in all subject areas that are not specifically assigned to the provinces
respondent	party that answers or defends against an appeal or an application
respondent	the party who responds to a claim filed in court against him by a plaintiff or the person who is being sued . another term for the respondent is the defendant .
respondent	the party who responds to a claim filed in court against him by a plaintiff or the person who is being sued . another term for the respondent is the defendant .
responding party	a party who is required to respond to a motion brought by another party; see also moving party
responsibility	the ability to comprehend the necessity of being truthful and the consequences for not telling the truth
restitutio in integrum	latin for restitution to the original position .
restitution	a remedy by which one seeks to rescind a contract; if granted, restitution restores the party, as far as possible, to a pre- contract position
restitution	under ancient english common law , when a party enforced a court judgement and then that judgement was overturned on appeal , the appellant could ask the appeal court for `` restitution '' , or financial compensation placing that appellant in the same position as if the original legal decision had not been enforced .
restraint of trade	practices that are designed to artificially maintain prices, eliminate competition, create a monopoly, or otherwise obstruct the course of trade and commerce
restrictive covenant	a provision in a contract that prohibits certain activities or uses of property
restrictive covenant	an agreement that restricts an employee's activities or conduct during or after employment; for example, a non-solicitation clause is a restrictive covenant that prevents an employee from soliciting employees or customers of an employer for a specified period of time after the end of employment
resulting trust	an implied trust, as distinguished from an express trust, where the legal titleholder is presumed to be holding property for a beneficiary in circumstances where a common intent can be implied
resulting trust	a trust that is presumed by the court from certain situations . similar to a constructive trust but for resulting trusts , the court presumes an intention to create a trust ; the law assumes that the property is not held by the right person and that the possessor is only holding the property `` in trust '' for the rightful owner .
retail sales tax	provincial tax on the purchase of chattels
retainer	contract between a lawyer and client describing the services to be provided by the lawyer and the terms of payment by the client; also refers to a cash deposit to be used by a lawyer to pay future fees and disbursements as they are incurred
retainer	general : a contract between a lawyer and his -lrb- or her -rrb- client , wherein the lawyer agrees to represent and provide legal advice to the client , in exchange for money . the signed retainer begins the client - lawyer relationship from which flow many responsibilities and duties , primarily on the lawyer , including to provide accurate legal advice , to monitor limitation dates and to not allow any conflict of interest with the relationship with the client . bankruptcy : under the bankruptcy and insolvency act it is common for the trustee in bankruptcy to ask for a retainer before he accepts an appointment . there is also a special type of retainer called a third party retainer , whereby funds are put up that secure the fees and disbursements of the trustee but are returned to the party putting up the funds if the trustee realizes enough out of the estate to cover the fees and costs and , in the case of a proposal , returned to the party putting up the funds if the proposal is refused by the creditors or not approved by the court .
retainer	under the bankruptcy and insolvency act it is common for the trustee in bankruptcy to ask for a retainer before he accepts an appointment . there is also a special type of retainer called a third party retainer , whereby funds are put up that secure the fees and disbursements of the trustee but are returned to the party putting up the funds if the trustee realizes enough out of the estate to cover the fees and costs and , in the case of a proposal , returned to the party putting up the funds if the proposal is refused by the creditors or not approved by the court .
retainer agreement	an agreement for legal services between a licensee and a client
return date	the date on which the motion will be heard by the court
return of a motion	day on which a motion is "returned" to court for a hearing; the hearing date is also referred to as "the return date"
revenue disbursements	money spent for the purpose of maintaining an asset that earns income
revenue receipts	money or payments earned by the estate during the accounting period
reverse onus	situation where the obligation to prove a fact is shifted from one party to the other
reverse search	a reverse search allows you to submit an address, telephone number, or email address to obtain the name of a resident or subscriber
reversion	a future interest left in a transferror or his -lrb- or her -rrb- heirs . a reservation in a real property conveyance that the property reverts back to the original owner upon the occurence of a certain event .
revival	the process of restoring a corporation that has been dissolved as if it had never been dissolved
revoke	to annul or make void by recalling or taking back; to cancel or rescind
rhosp	registered home ownership savings plan .
right against self-incrimination	a person's right not to be compelled to be a witness against himself in criminal or quasi- criminal proceedings
right of first refusal	a right to be allowed to rent before the renovated unit is offered to other prospective tenants
right of first refusal	a right given to a person to be the first person allowed to purchase a certain object if it is ever offered for sale .
right of physical chastisement	the right of a husband to use physical force to discipline his wife
right of survivorship	automatic vesting of an interest in the surviving joint tenant or tenants when one joint tenant dies
right of way	right to use a portion of another's land for access purposes
right-to-work laws	laws that make it harder for unions to organize workers and become certified, usually by providing for the right of individual workers not to join or be made to join a union as a condition of employment
riparian rights	rights to the use of a watercourse running through or adjacent to the property
riparian rights	special rights of people who own land that runs into a river bank -lrb- a `` riparian owner '' is a person who owns land that runs into a river -rrb- .
risk of cruel and unusual treatment or punishment and risk to life	ill-treatment causing suffering that is less severe than torture
rollover	situation where capital property is transferred to a beneficiary upon the taxpayer's death without immediate tax consequences, deferring income tax until the recipient becomes liable for the tax
root of title	first conveyance of the fee simple estate (a deed or transfer) registered after the commencement date of a title search
rrsp	registered retirement savings plan . ` `_
rule against perpetuities	rule that prevents a trust from being open-ended indefinitely with respect to its potential beneficiaries
rule against perpetuities	a common law rule that prevents suspending the transfer of property for more then 21 years or a lifetime plus 21 years . for example , if a will proposes the transfer of an estate to some future date , which is uncertain , for either more than 21 years after the death of the testator or for the life of a person identified in the will and 21 years , the transfer is void .
rule of law	the principle that governments, as well as individuals and corporations, must follow the law; in particular, governments may take actions that limit the activities of citizens or their access to rights or benefits only in accordance with substantive and procedural requirements prescribed by law
ruled off	the land registrar's drawing of a line through the entry in the abstract book of a mortgage that has been discharged
rules	a category of regulation that has the purpose of establishing practices and procedures for the presentation of cases
rules of evidence	rules used by the courts to determine the admissibility of evidence, composed of a combination of common-law principles, statutory provisions, and constitutional principles, and requiring that evidence presented in court be relevant, reliable, necessary, and fair
rules of natural justice	the legal principle that parties affected by a decision are entitled to be given a fair opportunity to present their case to an unbiased decision maker
rules of statutory interpretation	the principles used in interpreting laws; see also statutory interpretation
running account	an account where a regular customer charges purchases against a standard account number on an ongoing basis; the defendant makes payments against the account from time to time (usually on a monthly basis)
s. 44	see inadmissibility report
safe third country	a receiving country that is any country, other than the country of origin, in which a refugee enjoys protection
sanction	this is a very unusual word with two contradictory meanings . to `` sanction '' can mean to ratify or to approve but it can also mean to punish . the `` sanction '' of a crime refers to the actual punishment , usually expressed as a fine or jail term .
scienter	latin for knowledge . in legal situations , the word is usually used to refer to `` guilty knowledge '' . for example , owners of vicious dogs may be liable for injuries caused by these dogs if they can prove the owner 's `` scienter '' -lrb- i . e . that the owner was aware , before the attack , of the dog 's vicious character -rrb- .
search notes	summary of the contents of all registered documents affecting title; reveals the state of the title including any encumbrances
search the title	conduct an investigation into the status and history of title to land
search warrant	a court order -lrb- i . e . signed by a judge -rrb- that gives a police the permission to enter private property and to search for evidence of the commission of a crime , for the proceeds of crime or property that the police suspect may be used to commit a crime .
searching behind the plan	examining the abstract book for the original concession lot of which property was a part prior to the registration of the plan of subdivision
seasonal agricultural worker program	a program that allows the entry of foreign nationals to work in the agricultural sector in canada
second charge	charge registered after the first charge and thus having subsequent priority to the first
secondary arbitration	a family arbitration that is conducted in accordance with a separation agreement, a court order, or a family arbitration award that provides for the arbitration of possible future disputes relating to the ongoing management or implementation of the agreement, order, or award
secondary meaning	when applied to a corporate name, a meaning that has acquired distinctiveness through use over a period of time
secondary picketing	picketing at a supplier or customer of the employer or another party who is not involved directly in the dispute
secret trust	form of testamentary trust that does not appear in the will and may or may not be in writing
secured	the status a creditor has when he has security or a right in some property that he can sell or realize on .
secured credit transaction	a transaction where the debtor has put up some asset of value as collateral that the creditor may use as security for the unpaid debt — if the debtor defaults, the creditor can recover what is owing by seizing the collateral; the debt is said to be secured by the creditor's rights in the collateral
secured creditor	a creditor whose loans are secured against real or personal property; if the debtor defaults in payment, the secured creditor may seize and sell the property, and pay the balance owing on the loan out of the proceeds of the sale, in accordance with the terms of the security agreement
security	something given or pledged to a person who is lending money in order to secure or guarantee payment of that debt .
security agreement	a verbal or written agreement between a secured party and a debtor giving the secured party a security interest in personal property ; a written agreement is not necessary of the secured party is in possession of the collateral .
security certificate	a document providing for a removal hearing in the absence of the person named, where information must be protected for reasons of public safety
security of tenure	the right of a residential tenant in ontario to keep the tenancy unless the landlord has a specific reason to end the tenancy, as set out in the residential tenancies act
sedar	system for electronic document analysis and retrieval; the electronic filing system for the disclosure documents of public companies and mutual funds across canada
seisin	the legal possession of property . in law , the term refers more specifically to the possession of land by a freeholder .
seize or sue	that phrase referring to a concept that , in british columbia and alberta under the personal property security act , allows a secured creditor , in regard to consumer goods , to either seize or sue for the goods but not do both . for example , a financial institution holding security over a vehicle that is used for personal use and not for business can on default either seize that vehicle and sell it in satisfaction of its debt or sue the person for what is owed , but cannot do both .
seized	having begun to hear evidence in an application, the specific adjudicator must continue to hear the case until its resolution
self-defence	justifiable self-protection when a person reasonably perceives a threat and responds in a reasonable manner
self-help remedy	a remedy exercised by a wronged party without recourse to a formal system of justice
seller	vendor of the property
sentence	penalty imposed for an offence
sentence	the punishment given to a person who has been convicted -lrb- i . e . found to be guilty -rrb- of a crime .
separation agreement	an agreement between parties who have cohabited, in or out of marriage, and who have separated, in which they agree on their respective rights and obligations
sequestration	the taking of someone 's property , voluntarily -lrb- by deposit -rrb- or involuntarily -lrb- by seizure -rrb- , by court officers or into the possession of a third party , awaiting the outcome of a trial in which ownership of that property is at issue .
series	a subdivision of shares within a class of shares
service	process by which documents are brought to the attention of a party in accordance with the rules or a court order
services and facilities	things provided with a rental unit such as parking, appliances, common-area cleaning, lockers, laundry facilities, heating, and air conditioning
servient tenement	land over which an easement runs
servient tenement	the land which suffers or has the burden of an easement . the beneficiary of the easement is called a dominant tenement .
set aside	to declare a court order or procedural step of no force and effect
set fine	the amount of monetary penalty determined by the chief justice of the ontario court of justice for an offence under part i or part ii
setoff	in an action for debt, a defence in which the debtor admits that he or she owes a debt to the creditor but also claims that the creditor owes a debt to him or her, and uses this reasoning to cancel or reduce the debt owed to the creditor
setting an action down for trial	procedure that a party must follow in order to have its case placed on the trial list
settlement	the transferring of property to another person or a gift . under certain circumstances , settlements are void against the trustee and are brought back into the bankruptcy estate .
settlement conference	informal and confidential meeting during which the parties try to resolve or simplify issues in dispute
settlement plan	details of a refugee sponsor's commitment to provide basic financial support and care for a sponsored refugee
settlor	a person who creates a trust by transferring property to a trustee for the benefit of a third party
settlor	the person who actually creates a trust by donating property to be managed and administered by a trustee but from which all profits would go to a beneficiary . the law books of some countries refer to this person as a `` donor . ''
severance	a consent under the planning act to the division of land into two or more separate pieces of land
severance	division of land into smaller parcels
severance pay	a one-time lump-sum payment made to a terminated employee in certain circumstances as set out in the employment contract or under the employment standards act
sexual harassment	any unwelcome sexual solicitation or advance either by someone in a position of power in relation to the victim (such as an employer or landlord) or by someone whose conduct a person in a position of power has the ability to control (such as a co-worker or fellow tenant of the victim)
share	a percentage of the ownership of a corporation that entitles its holder to certain rights in the corporation
share capital corporation	a corporation that has been incorporated for profit and issues shares
shareholder	someone who holds shares in a corporation
sheriff	official appointed by the provincial government to assist in various court-related functions, such as the enforcement of orders and judgments
shortfall	a dollar realization on assets that is not sufficient to clear the debt completely .
shrink-wrap contract	a transaction where there are additional terms or conditions inside the packaging or in documentation furnished after the purchase; the purchaser does not see these additional terms until after the transaction is completed
sick leave	an excused absence from work because of illness
sidesperson	a nominee by either labour or management to a board of arbitration
sign-back	offer whereby the original offeree changes some of the terms in the original offer, initials the changes, then submits it to the original offeror
signatory	someone who signs a document
significant benefit	a ground of exemption from the usual requirement of foreign workers to obtain an hrsdc confirmation; the exemption applies to foreign workers whose presence in canada will likely result in a significant benefit to the country and permits them to apply for a work permit without first obtaining the hrsdc confirmation
silent partner	a person who invests in a company or partnership but does not take part in administering or directing the organization ; he or she just shares in the profits or losses .
similar fact evidence	evidence that shows that an accused committed similar offences in the past, which may be admitted provided that it is relevant to establishing an important matter other than the accused's predisposition to commit that type of offence
simple contract	a contract that can be oral or in writing and that is not a formal contract
simultaneous conveyance	two abutting parcels of land conveyed at the same time to two different people
sine die	adjourned without giving any future date of meeting or hearing .
sine die adjournment	adjournment for an indefinite period
single-entry visa	a document that allows a foreign national to enter canada only once, usually only for six months
sittings	a time period during which a specific court may hear cases
slander	making an oral defamatory statement
slander	verbal or spoken defamation .
slander of goods	false or misleading statements intended to decrease a competitor's market share
slander of title	false or misleading statements intended to deter another from entering into a transaction
slander of title	intentionally casting aspersion on someone 's property including real property , a business or goods -lrb- the latter might also be called `` slander of goods '' -rrb- .
slapp law	“ strategic lawsuit against public participation . ”
sleeping on its rights	a union that does not try to get a collective agreement after certification is said to be sleeping on its rights and for that reason may be decertified
small claims / small claims court	a court which has simplified rules , thus encouraging non - lawyers to attend at the court without legal representation . in british columbia , the amount that can be considered in a small claims action is $ 10,000 or less .
smart meter	a meter that tracks how much electricity is being used and relays to the hydro provider the time of day in which that electricity is being used
socage	a term of the feudal system which referred to the tenure which was exchanged for certain goods or services which were not military in nature . socage is often described as `` free and common socage '' although the `` free and common '' qualification is now of a purely historical significance .
social housing	housing provided by a city or provincial housing authority, or other agencies such as non-profit housing corporations, primarily to those with low incomes
sole custody	when one parent has total care of and decision-making power over the child
sole proprietorship	the carrying on of business for profit by an individual without other owners
solemn affirmation	promise to tell the truth in court that has the same value as an oath
solemn affirmation	a solemn promise that has the same effect as a religious oath .
solicitor	a lawyer that restricts his or her practice to the giving of legal advice and does not normally litigate in the court room . canadian lawyers can litigate or give legal advice .
solicitor–client privilege	privilege that protects communications between lawyer and client made for the purpose of obtaining legal advice
son of sam law	the phrase refers to laws that are designed to keep criminals from profiting from their crimes by selling their stories to publishers or movie makers . named after the son of sam murders committed from between july 1976 and august 1977 by new york serial killer david berkowitz , such laws authorize the state to seize money from criminals ' book or movie deals and use it to compensate victims .
special act corporation or company	a corporation formed by a special statute passed by parliament to undertake special projects
special advocate	a person who must be appointed to act on behalf of a person who is subject to a closed security certificate hearing process to protect his or her interests
special business	business conducted at a meeting of shareholders other than consideration of the minutes of an earlier meeting, the financial statements and auditor's report, election of directors, and reappointment of the incumbent auditor
special damages	monetary damages that are specific, ascertainable, and measured on an objective basis; sometimes referred to as out-of- pocket expenses
special program	an employer program aimed at relieving hardship or promoting the employment status of disadvantaged groups
special resolution	a resolution that is passed by at least two- thirds of the votes cast in respect of the resolution, or that is consented to in writing by all the shareholders who are entitled to vote on the resolution
special resolution	a term under the bankruptcy and insolvency act whereby voting is carried out , for example when creditors accept or refuse a proposal . in order for the special resolution to pass , of those creditors who vote there must be in excess of 2 / 3 of the dollars voting in favor and a simple majority in number of the creditors voting in favor .
special service organization	a non-profit social, religious, or other organization that serves the interests of a group that is protected under the human rights code
special shares	shares that have rights, privileges, restrictions, and conditions that do not apply to common shares
specific charge	a lien or security interest in a specific piece of property that can be distinguished from other pieces of property . for example , security over a vehicle .
specific damages	damages that compensate for actual monetary losses, such as earnings lost
specific gift	gift of a particular object of personal property, lease, or assignment of debt
specific goods	specific, identifiable chattels that have been singled out for contract purposes
specific performance	a remedy requiring the party who is in breach of a contract to perform his or her obligations under the contract
specific security agreement	an agreement between a borrower and a lender giving the lender an interest in specific assets of the borrower; generally used for smaller loans
spendthrift trust	trust that names a trustee to manage the gift to a beneficiary until the beneficiary reaches a specified age
spoliation	the destruction, mutilation, alteration, or concealment of evidence
sponsorship agreement holder	an established, incorporated organization that has signed an agreement with the minister of cic to facilitate refugee sponsorship
sponsorship application process	under the family class, the process whereby an approved sponsor may apply to be reunited with a family member
spousal consent	consent of the spouse of the owner on title to the transfer or mortgage of a matrimonial home, required under the family law act
spousal privilege	privilege based on the spousal relationship that prevents one spouse from testifying against the other
springing power of attorney	a springing power of attorney allows you to appoint a trusted individual who will have authority to run your affairs while you are mentally incapacitated . sometimes referred to as a `` enduring power of attorney '' or `` durable power of attorney '' .
staggered term	a varied period of time for which directors are elected
standard charge terms	mortgage terms that are used in all mortgages issued by an institutional lender, which are filed with the government and are then assigned a file number
standard of care	1. legal criteria against which a defendant's conduct is measured to determine whether he or she has been negligent; 2. how well, how carefully, or how thoroughly a person carried out the duty of care owed to another
standard of proof	the level of certainty needed for the prosecution to convict, or for a defendant to exonerate himself or herself; can be beyond a reasonable doubt or on a balance of probabilities
standard of review	the level of scrutiny that an appeal court will apply to the decision of a lower court or tribunal
standing	see party status
standing committee	committee that is permanent during the existence of an npo
standing committee	a term of parliamentary law which refers to those committees which have a continued existence ; that are not related to the accomplishment of a specific , once - only task as are ad hoc or special committees .
stare decisis	a common-law principle that requires lower courts to follow precedents emanating from higher courts in the same jurisdiction unless there is good reason for them to do otherwise; see also precedent
stare decisis	a basic principle of the law whereby once a decision -lrb- a precedent -rrb- on a certain set of facts has been made , the courts will apply that decision in cases which subsequently come before it embodying the same set of facts . a precedent which is binding ; must be followed .
state agent	authority of the refugee claimant's country of origin — for example, police and members of the military
stated capital	a corporate law concept; essentially, the sum of all amounts received by a corporation as consideration for a class or series of shares issued by the corporation; subject to restrictions on distribution to shareholders
stated case	a request by a tribunal to a court to give its opinion on a question of law formulated by the tribunal, together with any facts that the tribunal considers necessary for answering the question
statement of adjustments	statement that outlines the various credits and debits against the purchase price and specifies the exact amount to be paid on closing
statement of affairs	the listing of a debtor 's assets and liabilities and sworn under oath by the debtor before a lawyer or commissioner for taking oaths .
statement of claim	a document prepared and filed by a plaintiff in a lawsuit that initiates the court action
statement of information and belief	in a supporting affidavit on a motion, information that the deponent was told by another person or has read in a document that she did not write
statement of receipts and disbursements	a statement prepared in the matter of receivership or agency appointment or a bankruptcy appointment , whereby the realizations and disbursements are set out .
statement of submission of rights to the court	document that entitles a person who appears to have a financial interest in the estate to notice of any trial regarding the estate and a copy of the judgment
status certificate	certificate from the condominium corporation that includes, among other things, financial information, directors and officers, and the declaration
status quo	the current state of affairs , or current position .
statute	law passed by parliament or a provincial legislature; also called an "act"; often specifically provides for the authority to make regulations or to delegate this power; distinguished from subordinate legislation; see also statute law
statute citator	a publication that lists all the provisions of a statute and for each provision, sets out amendments that have been made, and sometimes court decisions that have interpreted the provisions; also called a citator
statute law	laws passed by legislatures
statute of limitations - limitations acts	provinces have limitation acts which provide a limit on the time by which an action must be started . for example , if an unsecured debt is not collected or payments are not made on the unsecured debt then after a certain time no legal action can be taken to collect the debt . in ontario , the changes to the limitations act which come into force on january 1 , 2004 will set two years as the term -lrb- section 4 -rrb- .
statute-barred	to be prevented by the terms of a statute from commencing an action to assert your legal rights
statutes	the written laws approved by legislatures , parliaments or houses of assembly -lrb- i . e . , politicians -rrb- . also known as `` legislation '' .
statutory declaration	a sworn declaration (like an affidavit) made by an applicant for incorporation of a federal npo
statutory interpretation	the process of interpreting laws passed by elected assemblies, whether those laws are statutes, regulations, or municipal bylaws; also known as "statutory construction"
statutory powers procedure act	the ontario statute that sets out the basic procedural rules for all tribunals
statutory trust	a trust created by the effect of a statute .
stay	an order issued by a tribunal or court suspending the decision that is being challenged until the challenge has been decided or abandoned
stay of enforcement	stopping enforcement by creditors against a debtor for so long as the debtor complies with the terms of a court order
stay of proceedings	the temporary or permanent suspension of proceedings before a court or tribunal by order of that court or tribunal or of a higher court
stay of proceedings	the stopping or preventing of legal actions undertaken . in the bankruptcy and insolvency act , there is a stay of proceedings in the case of a bankruptcy or in the case of a proposal . this stops all legal actions against the company or person .
stay of removal	usually refers to a decision by a member of the immigration appeal division where the member decides not to continue with an appeal against a removal order; the appellant is allowed to remain in canada but must abide by certain conditions imposed by the member; if there is no breach of the conditions within the ordered period of time, the appeal is allowed, the removal order quashed, and the person permitted to remain in canada; however, proceedings could be resumed at some future time if conditions are breached
stayed	temporarily stopped or suspended
stirpes	latin : the offspring of a person ; his or her descendants . for example , inheriting per stirpes means having a right to a deceased 's estate because you happen to be a descendant of the deceased .
stock power of attorney	special kind of power of attorney in which the estate trustee is the grantor and the attorney is the transfer agent or an employee of the transfer agent
stock transfer power of attorney	document granting power of attorney to an individual for the specific purpose of transferring shares
strict construction	means that the language of a rule is read and applied using its exact, technical meaning; also known as "narrow construction"
strict liability	liability that is imposed even though no negligence or intentional tort occurred
strict liability	tort liability which is set upon the defendant without need to prove intent , negligence or fault ; as long as you can prove that it was the defendant 's object that caused the damage .
